Step, TotalE, KinE(ev/atom), PotE(ev/at), Temp(K)
0, -0.00143513 ,0.0365322, -0.0744996, 500
1, -0.000791385 ,0.0360473, -0.072886, 496.395
2, 0.000629581 ,0.0349219, -0.0692142, 483.33
3, 0.00310416 ,0.0326474, -0.0621907, 453.927
4, 0.00578698 ,0.0288632, -0.0519394, 398.96
5, 0.00687382 ,0.0252458, -0.0436178, 321.852
6, 0.00722626 ,0.0248965, -0.0425668, 260.48
7, 0.0063201 ,0.0260721, -0.0458242, 250.495
8, 0.00511218 ,0.0269697, -0.0488272, 273.571
9, 0.00441212 ,0.0271808, -0.0499495, 296.317
10, 0.00427905 ,0.0267892, -0.0492993, 305.12
11, 0.00452062 ,0.0262572, -0.0479937, 300.617
12, 0.00470084 ,0.0259997, -0.0472986, 291.107
13, 0.0045348 ,0.0260112, -0.0474876, 285.836
14, 0.00418341 ,0.0260728, -0.0479621, 286.993
15, 0.00421135 ,0.0261499, -0.0480884, 290.371
16, 0.00446504 ,0.0261398, -0.0478145, 291.331
17, 0.00459704 ,0.0261927, -0.0477884, 289.572
18, 0.00453253 ,0.0262802, -0.0480278, 289.399
19, 0.00439479 ,0.0260869, -0.0477789, 290.766
20, 0.0045195 ,0.0259016, -0.0472836, 289.056
21, 0.0045414 ,0.0257879, -0.0470344, 285.41
22, 0.00433267 ,0.0258241, -0.0473155, 283.652
23, 0.00401938 ,0.0259565, -0.0478936, 285.748
24, 0.00365927 ,0.0259489, -0.0482386, 289.968
25, 0.00355873 ,0.025908, -0.0482574, 292.685
26, 0.00376616 ,0.0258403, -0.0479144, 292.797
27, 0.00390291 ,0.0256479, -0.0473928, 290.168
28, 0.00409181 ,0.0254969, -0.0469019, 286.16
29, 0.00403905 ,0.0254817, -0.0469243, 282.624
30, 0.00372712 ,0.0256198, -0.0475125, 282.881
31, 0.00366183 ,0.0255841, -0.0475063, 286.811
32, 0.00405872 ,0.0253523, -0.0466459, 286.54
33, 0.00431751 ,0.0252676, -0.0462178, 280.639
34, 0.00409432 ,0.0253857, -0.046677, 277.468
35, 0.00362626 ,0.0255534, -0.0474806, 280.871
36, 0.00343988 ,0.0255136, -0.0475873, 286.528
37, 0.00350988 ,0.0253131, -0.0471164, 287.465
38, 0.00356309 ,0.0250788, -0.0465945, 284.058
39, 0.00344246 ,0.0249616, -0.0464807, 280.17
40, 0.00332228 ,0.0252582, -0.0471942, 279.576
41, 0.00313262 ,0.0255514, -0.0479702, 284.701
42, 0.00311744 ,0.0255159, -0.0479143, 290.265
43, 0.00341323 ,0.0253278, -0.0472425, 289.969
44, 0.0037669 ,0.0252462, -0.0467255, 285.162
45, 0.00368175 ,0.0252732, -0.0468646, 281.346
46, 0.00337002 ,0.0254567, -0.0475434, 282.428
47, 0.00335716 ,0.025588, -0.0478189, 287.094
48, 0.00335094 ,0.0255859, -0.0478208, 289.408
49, 0.0034111 ,0.0256427, -0.0478742, 289.606
50, 0.0035981 ,0.0257561, -0.0479141, 290.011
51, 0.00375517 ,0.0257436, -0.047732, 290.183
52, 0.00372229 ,0.0256203, -0.0475183, 288.884
53, 0.0035637 ,0.0255032, -0.0474427, 287.338
54, 0.00352629 ,0.0254392, -0.047352, 286.665
55, 0.00365764 ,0.0253645, -0.0470714, 285.864
56, 0.00382994 ,0.0252861, -0.0467422, 283.598
57, 0.0038841 ,0.0253518, -0.0468196, 281.257
58, 0.00366417 ,0.0253849, -0.0471056, 281.664
59, 0.00344379 ,0.0254086, -0.0473733, 283.795
60, 0.00349197 ,0.0255256, -0.0475592, 285.916
61, 0.00360331 ,0.025701, -0.0477986, 287.494
62, 0.00341676 ,0.0259075, -0.0483982, 289.633
63, 0.00310818 ,0.0261061, -0.049104, 294.148
64, 0.00297567 ,0.0261297, -0.0492837, 299.243
65, 0.00323773 ,0.0261091, -0.0489806, 300.688
66, 0.00348608 ,0.0260409, -0.0485958, 298.469
67, 0.00350237 ,0.0260525, -0.0486026, 295.786
68, 0.00372749 ,0.0260189, -0.0483104, 295.312
69, 0.00398199 ,0.0258356, -0.0476893, 293.116
70, 0.00402061 ,0.0256152, -0.0472097, 288.54
71, 0.00397326 ,0.0254578, -0.0469423, 284.843
72, 0.0039192 ,0.0254391, -0.0469589, 282.794
73, 0.00384999 ,0.0256966, -0.0475431, 283.056
74, 0.00353563 ,0.0260471, -0.0485585, 287.551
75, 0.00334737 ,0.0261415, -0.0489356, 294.882
76, 0.00354205 ,0.0257145, -0.047887, 297.337
