Distance, Counts 
0, 0 
0.00419118, 0 
0.00838235, 0 
0.0125735, 0 
0.0167647, 0 
0.0209559, 0 
0.0251471, 0 
0.0293382, 0 
0.0335294, 0 
0.0377206, 0 
0.0419118, 0 
0.0461029, 0 
0.0502941, 0 
0.0544853, 0 
0.0586765, 0 
0.0628676, 0 
0.0670588, 0 
0.07125, 0 
0.0754412, 0 
0.0796324, 0 
0.0838235, 0 
0.0880147, 0 
0.0922059, 0 
0.0963971, 0 
0.100588, 0 
0.104779, 0 
0.108971, 0 
0.113162, 0 
0.117353, 0 
0.121544, 0 
0.125735, 0 
0.129926, 0 
0.134118, 0 
0.138309, 0 
0.1425, 0 
0.146691, 0 
0.150882, 0 
0.155074, 0 
0.159265, 0 
0.163456, 0 
0.167647, 0 
0.171838, 0 
0.176029, 0 
0.180221, 0 
0.184412, 0 
0.188603, 0 
0.192794, 0 
0.196985, 0 
0.201176, 0 
0.205368, 0 
0.209559, 0 
0.21375, 0 
0.217941, 0 
0.222132, 0 
0.226324, 0 
0.230515, 0 
0.234706, 0 
0.238897, 0 
0.243088, 0 
0.247279, 0 
0.251471, 0 
0.255662, 0 
0.259853, 0 
0.264044, 0 
0.268235, 0 
0.272426, 0 
0.276618, 0 
0.280809, 0 
0.285, 0 
0.289191, 0 
0.293382, 0 
0.297574, 0 
0.301765, 0 
0.305956, 0 
0.310147, 0 
0.314338, 0 
0.318529, 0 
0.322721, 0 
0.326912, 0 
0.331103, 0 
0.335294, 0 
0.339485, 0 
0.343676, 0 
0.347868, 0 
0.352059, 0 
0.35625, 0 
0.360441, 0 
0.364632, 0 
0.368824, 0 
0.373015, 0 
0.377206, 0 
0.381397, 0 
0.385588, 0 
0.389779, 0 
0.393971, 0 
0.398162, 0 
0.402353, 0 
0.406544, 0 
0.410735, 0 
0.414926, 0 
0.419118, 0 
0.423309, 0 
0.4275, 0 
0.431691, 0 
0.435882, 0 
0.440074, 0 
0.444265, 0 
0.448456, 0 
0.452647, 0 
0.456838, 0 
0.461029, 0 
0.465221, 0 
0.469412, 0 
0.473603, 0 
0.477794, 0 
0.481985, 0 
0.486176, 0 
0.490368, 0 
0.494559, 0 
0.49875, 0 
0.502941, 0 
0.507132, 0 
0.511324, 0 
0.515515, 0 
0.519706, 0 
0.523897, 0 
0.528088, 0 
0.532279, 0 
0.536471, 0 
0.540662, 0 
0.544853, 0 
0.549044, 0 
0.553235, 0 
0.557426, 0 
0.561618, 0 
0.565809, 0 
0.57, 0 
0.574191, 0 
0.578382, 0 
0.582574, 0 
0.586765, 0 
0.590956, 0 
0.595147, 0 
0.599338, 0 
0.603529, 0 
0.607721, 0 
0.611912, 0 
0.616103, 0 
0.620294, 0 
0.624485, 0 
0.628676, 0 
0.632868, 0 
0.637059, 0 
0.64125, 0 
0.645441, 0 
0.649632, 0 
0.653824, 0 
0.658015, 0 
0.662206, 0 
0.666397, 0 
0.670588, 0 
0.674779, 0 
0.678971, 0 
0.683162, 0 
0.687353, 0 
0.691544, 0 
0.695735, 0 
0.699926, 0 
0.704118, 0 
0.708309, 0 
0.7125, 0 
0.716691, 0 
0.720882, 0 
0.725074, 0 
0.729265, 0 
0.733456, 0 
0.737647, 0 
0.741838, 0 
0.746029, 0 
0.750221, 0 
0.754412, 0 
0.758603, 0 
0.762794, 0 
0.766985, 0 
0.771176, 0 
0.775368, 0 
0.779559, 0 
0.78375, 0 
0.787941, 0 
0.792132, 0 
0.796324, 0 
0.800515, 0 
0.804706, 0 
0.808897, 0 
0.813088, 0 
0.817279, 0 
0.821471, 0 
0.825662, 0 
0.829853, 0 
0.834044, 0 
0.838235, 0 
0.842426, 0 
0.846618, 0 
0.850809, 0 
0.855, 0 
0.859191, 0 
0.863382, 0 
0.867574, 0 
0.871765, 0.234206 
0.875956, 0.231976 
0.880147, 0 
0.884338, 0 
0.888529, 0.112736 
0.892721, 0.223365 
0.896912, 0 
0.901103, 0 
0.905294, 0.868871 
0.909485, 0.43045 
0.913676, 0.426519 
0.917868, 0.739622 
0.922059, 0 
0.92625, 0.622565 
0.930441, 0.411321 
0.934632, 0.407649 
0.938824, 0.80805 
0.943015, 0.800899 
0.947206, 1.09153 
0.951397, 1.57376 
0.955588, 1.85252 
0.959779, 1.35314 
0.963971, 2.20377 
0.968162, 1.70982 
0.972353, 1.78932 
0.976544, 1.40055 
0.980735, 2.59211 
0.984926, 1.19328 
0.989118, 1.82032 
0.993309, 1.35377 
0.9975, 1.96892 
1.00169, 1.42001 
1.00588, 1.76028 
1.01007, 2.35673 
1.01426, 2.25077 
1.01846, 2.31818 
1.02265, 3.32115 
1.02684, 1.9427 
1.03103, 2.01075 
1.03522, 1.66211 
1.03941, 2.30827 
1.0436, 2.45336 
1.04779, 2.51494 
1.05199, 1.85111 
1.05618, 2.47526 
1.06037, 2.45577 
1.06456, 2.5937 
1.06875, 2.18352 
1.07294, 1.70227 
1.07713, 1.91941 
1.08132, 2.89497 
1.08551, 1.73874 
1.08971, 1.87545 
1.0939, 2.08447 
1.09809, 3.47233 
1.10228, 2.34623 
1.10647, 2.18299 
1.11066, 2.09435 
1.11485, 2.22202 
1.11904, 1.42286 
1.12324, 1.76536 
1.12743, 1.75228 
1.13162, 1.80892 
1.13581, 2.00281 
1.14, 2.60514 
1.14419, 1.76946 
