Step, TotalE, KinE(ev/atom), PotE(ev/at), Temp(K)
0, -0.0179389 ,0.0279339, -0.0738068, 300.001
1, -0.0171472 ,0.0258934, -0.068934, 290.243
2, -0.0163463 ,0.0210808, -0.0585078, 250.144
3, -0.0169514 ,0.0181803, -0.053312, 174.218
4, -0.0174244 ,0.0194565, -0.0563374, 135.676
5, -0.0178098 ,0.0197664, -0.0573426, 153.656
6, -0.0178536 ,0.0194941, -0.0568418, 162.464
7, -0.0179707 ,0.0192826, -0.0565358, 159.358
8, -0.0179633 ,0.0191159, -0.0561951, 156.623
9, -0.0181782 ,0.019093, -0.0563642, 154.51
10, -0.0184707 ,0.0191374, -0.0567454, 155.705
11, -0.0187654 ,0.0190124, -0.0567903, 158.397
12, -0.0188294 ,0.0189835, -0.0567963, 159.052
13, -0.018669 ,0.0190102, -0.0566894, 158.935
14, -0.0183246 ,0.0190457, -0.056416, 158.108
15, -0.0184373 ,0.0189928, -0.0564229, 156.369
16, -0.0187676 ,0.0189218, -0.0566112, 156.477
17, -0.0186342 ,0.018803, -0.0562401, 157.212
18, -0.0184067 ,0.019026, -0.0564587, 155.194
19, -0.0182929 ,0.0191757, -0.0566444, 156.172
20, -0.0184808 ,0.0195596, -0.0575999, 158.44
21, -0.0185402 ,0.0195085, -0.0575571, 164.688
22, -0.0184352 ,0.0192608, -0.0569569, 164.777
23, -0.0187444 ,0.0193108, -0.0573659, 161.023
24, -0.0187392 ,0.0194286, -0.0575965, 163.218
25, -0.0187681 ,0.0193055, -0.0573792, 164.941
26, -0.0185293 ,0.019078, -0.0566852, 163.055
27, -0.0186872 ,0.0190285, -0.0567443, 158.678
28, -0.0187 ,0.0189685, -0.0566369, 158.481
29, -0.0188822 ,0.0188794, -0.0566411, 158.019
30, -0.0185804 ,0.0190011, -0.0565826, 157.642
31, -0.0186385 ,0.0192302, -0.057099, 157.725
32, -0.0186944 ,0.0191914, -0.0570771, 160.855
33, -0.0186767 ,0.0189894, -0.0566556, 160.623
34, -0.0186758 ,0.0188517, -0.0563791, 157.633
35, -0.0185827 ,0.0188845, -0.0563517, 156.17
36, -0.0184234 ,0.0187746, -0.0559726, 155.452
37, -0.0183183 ,0.019025, -0.0563683, 153.165
38, -0.0184727 ,0.0191511, -0.056775, 156.055
39, -0.0186693 ,0.018855, -0.0563793, 158.868
40, -0.0187077 ,0.0186824, -0.0560725, 156.296
41, -0.0184444 ,0.0189433, -0.0563309, 154.172
42, -0.0184374 ,0.0191808, -0.056799, 156.201
43, -0.0184825 ,0.0188203, -0.0561231, 158.912
44, -0.0185773 ,0.018415, -0.0554074, 154.259
45, -0.0186684 ,0.0184078, -0.055484, 149.19
46, -0.0186358 ,0.0184546, -0.0555451, 149.3
47, -0.0186185 ,0.0186063, -0.0558312, 149.722
48, -0.0186877 ,0.0188418, -0.0563714, 152.248
49, -0.0185563 ,0.0188075, -0.0561712, 155.937
50, -0.0184875 ,0.0187706, -0.0560288, 154.799
51, -0.0185143 ,0.0188412, -0.0561966, 153.785
52, -0.0186515 ,0.0188066, -0.0562648, 154.746
53, -0.0186861 ,0.0188365, -0.0563591, 155.453
54, -0.0185302 ,0.0187989, -0.0561281, 156.014
55, -0.0187756 ,0.0190286, -0.0568328, 155.438
56, -0.01881 ,0.0190838, -0.0569776, 160.26
57, -0.0188854 ,0.0187992, -0.0564838, 161.236
58, -0.0190977 ,0.0186933, -0.0564843, 158.088
59, -0.0191481 ,0.0188914, -0.0569309, 157.971
60, -0.0188912 ,0.0189617, -0.0568146, 161.195
61, -0.018496 ,0.0188649, -0.0562258, 160.102
62, -0.0187646 ,0.0190514, -0.0568675, 157.081
63, -0.0184885 ,0.0191097, -0.056708, 160.747
64, -0.018458 ,0.0189989, -0.0564557, 159.967
65, -0.0187367 ,0.0189465, -0.0566297, 158.19
66, -0.0187299 ,0.0190424, -0.0568147, 159.538
67, -0.0185235 ,0.0189334, -0.0563903, 160.534
68, -0.0185231 ,0.018918, -0.0563592, 158.146
69, -0.0183999 ,0.018756, -0.0559119, 157.115
70, -0.0185015 ,0.018975, -0.0564516, 154.791
71, -0.0183492 ,0.018992, -0.0563331, 157.574
72, -0.0183068 ,0.018973, -0.0562529, 157.405
73, -0.018379 ,0.0188752, -0.0561294, 156.49
74, -0.0184626 ,0.0188408, -0.0561441, 155.856
75, -0.0184496 ,0.018474, -0.0553976, 155.235
76, -0.0185388 ,0.0183392, -0.0552172, 150.096
77, -0.0185048 ,0.0185069, -0.0555185, 148.294
78, -0.0185882 ,0.018843, -0.0562742, 151.113
79, -0.0183017 ,0.0189245, -0.0561506, 156.087
80, -0.0183187 ,0.0187262, -0.055771, 155.409
81, -0.0188259 ,0.0185679, -0.0559618, 153.108
82, -0.0186484 ,0.018639, -0.0559265, 154.282
83, -0.0184112 ,0.0187141, -0.0558394, 153.928
84, -0.0185716 ,0.0189254, -0.0564223, 153.541
85, -0.01864 ,0.0191183, -0.0568766, 157.618
86, -0.018339 ,0.0190313, -0.0564015, 160.731
87, -0.0180738 ,0.0189162, -0.0559063, 157.554
88, -0.0180764 ,0.0189247, -0.0559258, 153.992
89, -0.0179298 ,0.0188375, -0.0556047, 153.573
90, -0.0182421 ,0.0188596, -0.0559613, 151.799
91, -0.0183391 ,0.0188842, -0.0561074, 153.957
92, -0.0182085 ,0.0188108, -0.0558301, 155.013
93, -0.0183459 ,0.0191058, -0.0565574, 153.813
94, -0.0181 ,0.019219, -0.056538, 158.178
95, -0.0181238 ,0.0190138, -0.0561513, 158.394
96, -0.0182791 ,0.01906, -0.0563991, 156.09
97, -0.0181943 ,0.0189217, -0.0560377, 156.981
98, -0.0184408 ,0.0189644, -0.0563696, 155.17
99, -0.0186308 ,0.0192424, -0.0571156, 157.53
100, -0.0184812 ,0.0192555, -0.0569922, 162.721
101, -0.0182264 ,0.0189312, -0.0560887, 161.869
102, -0.01837 ,0.0187726, -0.0559152, 155.586
103, -0.0185108 ,0.019015, -0.0565409, 154.037
104, -0.0186619 ,0.0190372, -0.0567363, 158.358
105, -0.0184399 ,0.0188375, -0.0561149, 159.664
106, -0.018453 ,0.0189298, -0.0563126, 155.711
107, -0.018478 ,0.0191788, -0.0568355, 156.824
108, -0.0186149 ,0.0194508, -0.0575165, 161.209
